climate_variable,avg_sig_corr,max_sig_corr,sig_corr_count,sig_corr_ratio(%)
climate_risk_drought_weighted_score_country_sum_log1p_lag_30d,0.538,0.579,12,0.535
climate_risk_drought_weighted_score_country_sum_ssqrt_lag_30d,0.537,0.586,11,0.49
climate_risk_coldwave_score_country_max_ssqrt_lag_30d,0.536,0.553,2,0.111
climate_risk_drought_score_country_std_above_1_std_lag_30d,0.536,0.578,3,0.134
climate_risk_excess_precip_max_120d_above_1_std_lag_30d,0.536,0.627,25,1.114
climate_risk_drought_max_240d_above_1_std_lag_30d,0.536,0.624,20,0.891
climate_risk_heat_stress_max_14d_above_1_std_lag_30d,0.533,0.556,6,0.441
climate_risk_excess_precip_max_30d_above_1_std_lag_30d,0.533,0.554,9,0.401
climate_risk_coldwave_score_country_std_tangent_lag_30d,0.533,0.565,2,0.111
climate_risk_drought_weighted_score_country_sum_above_1_std_lag_30d,0.531,0.572,13,0.597
climate_risk_drought_weighted_score_country_sum_cos_lag_30d,0.531,0.577,12,0.535
climate_risk_excess_precip_weighted_score_country_sum_ssqrt_lag_30d,0.531,0.574,15,0.668
climate_risk_excess_precip_max_60d_above_1_std_lag_30d,0.53,0.599,18,0.802
climate_risk_unseasonably_cold_max_60d_above_1_std_lag_30d,0.528,0.528,1,0.06
climate_risk_drought_weighted_score_country_sum_tangent_lag_30d,0.527,0.567,10,0.446
climate_risk_unseasonably_cold_weighted_score_country_sum_log1p_lag_30d,0.527,0.542,9,0.557
climate_risk_unseasonably_cold_weighted_score_country_sum_ssqrt_lag_30d,0.527,0.539,9,0.557
climate_risk_unseasonably_cold_weighted_score_country_sum_sin_lag_30d,0.526,0.542,9,0.557
climate_risk_drought_score_country_mean_above_1_std_lag_30d,0.526,0.551,13,0.579
climate_risk_drought_max_120d_above_1_std_lag_30d,0.526,0.602,13,0.579
climate_risk_unseasonably_cold_weighted_score_country_sum_tangent_lag_30d,0.525,0.542,9,0.557
climate_risk_heat_stress_max_240d_above_1_std_lag_30d,0.525,0.551,6,0.299
climate_risk_drought_max_90d_above_1_std_lag_30d,0.525,0.571,16,0.713
climate_risk_excess_precip_score_country_max_above_1_std_lag_30d,0.523,0.523,1,0.045
climate_risk_excess_precip_score_country_mean_above_1_std_lag_30d,0.523,0.578,8,0.357
climate_risk_drought_score_country_max_above_1_std_lag_30d,0.523,0.561,10,0.446
climate_risk_unseasonably_cold_ma_30d_above_1_std_lag_30d,0.523,0.523,1,0.093
climate_risk_unseasonably_cold_score_country_max_above_1_std_lag_30d,0.521,0.521,1,0.074
climate_risk_coldwave_score_country_max_sin_lag_30d,0.519,0.519,1,0.055
climate_risk_excess_precip_score_country_std_above_1_std_lag_30d,0.519,0.538,3,0.134
climate_risk_coldwave_ma_120d_above_1_std_lag_30d,0.518,0.521,2,0.178
climate_risk_heat_stress_max_30d_above_1_std_lag_30d,0.515,0.515,1,0.068
climate_risk_heat_stress_ma_14d_above_1_std_lag_30d,0.515,0.515,1,0.088
climate_risk_unseasonably_cold_max_14d_above_1_std_lag_30d,0.515,0.516,2,0.138
climate_risk_coldwave_ma_240d_above_1_std_lag_30d,0.514,0.514,1,0.07
climate_risk_coldwave_score_country_max_thresh_mag_lag_30d,0.514,0.514,1,0.082
climate_risk_coldwave_ma_30d_above_1_std_lag_30d,0.513,0.525,2,0.181
climate_risk_excess_precip_max_14d_above_1_std_lag_30d,0.513,0.515,4,0.178
climate_risk_excess_precip_ma_14d_above_1_std_lag_30d,0.512,0.527,7,0.312
climate_risk_coldwave_ma_60d_above_1_std_lag_30d,0.512,0.512,1,0.096
climate_risk_heat_stress_score_country_mean_above_1_std_lag_30d,0.511,0.519,2,0.19
climate_risk_heat_stress_max_120d_above_1_std_lag_30d,0.511,0.515,3,0.175
climate_risk_heat_stress_weighted_score_country_sum_above_1_std_lag_30d,0.511,0.516,2,0.184
climate_risk_unseasonably_cold_weighted_score_country_sum_cos_lag_30d,0.511,0.519,5,0.31
climate_risk_heat_stress_weighted_score_country_sum_cos_lag_30d,0.511,0.522,3,0.203
climate_risk_heat_stress_weighted_score_country_sum_log1p_lag_30d,0.51,0.51,1,0.068
climate_risk_drought_ma_7d_above_1_std_lag_30d,0.51,0.519,2,0.089
climate_risk_heat_stress_max_60d_above_1_std_lag_30d,0.509,0.512,3,0.192
climate_risk_coldwave_score_country_std_cos_lag_30d,0.509,0.509,1,0.055
climate_risk_heat_stress_max_90d_above_1_std_lag_30d,0.508,0.514,4,0.245
climate_risk_coldwave_score_country_max_cos_lag_30d,0.506,0.506,1,0.055
climate_risk_drought_max_7d_above_1_std_lag_30d,0.506,0.51,6,0.267
climate_risk_heat_stress_weighted_score_country_sum_tangent_lag_30d,0.505,0.505,1,0.068
climate_risk_heat_stress_weighted_score_country_sum_sin_lag_30d,0.504,0.505,2,0.135
